"country","phoneNumberLengthByCountry_phLengthMax","phoneNumberLengthByCountry_phLengthMin","phoneNumberLengthByCountry_phLength","phoneNumberLengthByCountry_CountryCode","phoneNumberLengthByCountry_phLength_InternationalPrefix","phoneNumberLengthByCountry_phLength_NationalPrefix","phoneNumberLengthByCountry_Notes"
"India",10,7,"7 to 10",91,0,0,
"China",12,5,"5 to 12",86,0,0,
"United States",10,10,10,1,11,1,"Eastern Time UTC-5/DST-4; Central Time UTC-6/DST-5; Mountain Time UTC-7; Pacific Time UTC-8/DST-7; Alaska UTC-9/DST-8; Hawaiian UTC-10."
"Indonesia",10,5,"5 to 10",62,1.008,0,"Western Indonesia including Sumatra, Java, Madura and Bali UTC+7; Central Indonesia including Kalimantan (Borneo), Sulawesi (Celebes) and Nusatengarra (Lesser Sunda) UTC+8; Eastern Indonesia including Maluku (Moluccas) and Irianjaya (Irian) UTC+9."
"Pakistan",11,8,"8 to 11",92,0,0,
"Nigeria",10,7,"7 to 10",234,9,0,
"Brazil",10,10,10,55,0,0,"Other states UTC-3 (no change)."
"Bangladesh",10,6,"6 to 10",880,0,0,
"Russia",10,10,10,7,810,8,"Kaliningrad UTC +2/DST+3; Moscow, St. Petersburg, Astrakhan, Izhevsk, Samara UTC+3/DST+4; Perm, Nizhnevartovsk UTC+5/DST+6; Novosibirsk, Omsk UTC+6/DST+7; Norilsk, Kyzyl UTC+7/DST+8; Bratsk, Ulan-Ude UTC+8/DST+9; Chita, Yakutsk UTC+9/DST+10; Khabarovsk, Vladivostok, Yuzhno-Sakhalinsk UTC+10/DST+11; Magadan, Kamchatka UTC+11/DST+12."
"Ethiopia",9,9,9,251,0,0,
"Mexico",10,10,10,52,0,1,"Baja California Norte UTC-8/DST-7; Baja California Sur, Chihuahua, Nayarit UTC-7/DST-6."
"Japan",13,5,"5 to 13",81,10,0,
"Philippines",10,8,"8 to 10",63,0,0,
"Egypt",9,7,"7 to 9",20,0,0,
"DR Congo",9,5,"5 to 9",243,0,0,
"Vietnam",10,7,"7 to 10",84,0,0,
"Iran",10,6,"6 to 10",98,0,0,
"Turkey",10,10,10,90,0,0,
"Germany",13,6,"6 to 13",49,0,0,
"Thailand",9,8,"8 or 9",66,1,0,"The '0' is used on all domestic calls, including in the same city, but is omitted when dialling from other countries."
"Tanzania",9,9,9,255,0,0,
"United Kingdom",10,7,"7 to 10",44,0,0,
"France",9,9,9,33,0,0,"The '0' is used on all domestic calls, including in the same city, but is omitted when dialling from other countries."
"South Africa",9,9,9,27,0,0,"The '0' is used on all domestic calls, including in the same city, but is omitted when dialling from other countries."
"Italy",11,,"up to 11",39,0,,"When dialling from Italy to San Marino, the subscriber number must be prefixed by '0549' instead of '00378'. When dialling from San Marino to Italy, the complete national subscriber number must be used, without prefixing the number by '0039'."
"Kenya",10,6,"6 to 10",254,0,0,"When dialling between Kenya, Tanzania and Uganda the national (significant) number must be prefixed by 005 for Kenya, by 006 for Uganda and by 007 for Tanzania"
"Myanmar",9,7,"7 to 9",95,0,0,
"Colombia",10,8,"8 or 10",57,"009/007/005","09/07/05",
"South Korea",11,8,"8 to 11",82,1.002,0.082,
"Uganda",9,9,9,256,0,0,"When dialling between Kenya, Tanzania and Uganda the national (significant) number must be prefixed by 005 for Kenya, by 006 for Uganda and by 007 for Tanzania"
"Sudan",9,9,9,249,0,0,
"Spain",9,9,9,34,0,,
"Iraq",10,8,"8 to 10",964,0,0,
"Algeria",9,8,"8 or 9",213,0,0,
"Argentina",10,10,10,54,0,0,
"Afghanistan",9,9,9,93,0,0,
"Poland",9,6,"6 to 9",48,0,0,
"Canada",10,10,10,1,11,1,"Alberta UTC-7/DST-6; British Columbia UTC-8/DST-7; Manitoba UTC-6/DST-5; New Brunswick, Nova Scotia UTC-4/DST-3;Newfoundland UTC-3.30/DST-2.30; Ontario, Quebec UTC-5/DST-4."
"Morocco",9,9,9,212,0,0,"The '0' is used on all domestic calls, including in the same city, but is omitted when dialling from other countries."
"Ukraine",9,9,9,380,0,0,
"Angola",9,9,9,244,0,0,
"Saudi Arabia",9,8,"8 to 9",966,0,0,
"Uzbekistan",9,9,9,998,810,8,
"Yemen",9,6,"6 to 9",967,0,0,
"Mozambique",9,8,"8 to 9",258,0,,
"Ghana",9,5,"5 to 9",233,0,0,
"Peru",11,8,"8 to 11",51,0,0,
"Malaysia",9,7,"7 to 9",60,0,0,"When dialling from Singapore to Malaysia, the area code and subscriber number must be prefixed by '020' instead of '00160'. When dialling from Malaysia to Singapore, the subscriber number must be prefixed by '02' instead of '0065'."
"Nepal",9,8,"8 to 9",977,0,0,
"Madagascar",10,9,"9 to 10",261,0,,
"Ivory Coast",8,8,8,225,0,,
"Venezuela",10,10,10,58,0,0,
"Cameroon",8,8,8,237,0,,
"Niger",8,8,8,227,0,,
"Australia",15,5,"5 to 15",61,11,0,"Includes Cocos-Keeling Islands(UTC+6.30) and Christmas Island (UTC+7). Western Australia (UTC+8)."
"North Korea",17,6,"6 to 17",850,0,0,
"Syria",10,8,"8 to 10",963,0,0,
"Mali",8,8,8,223,0,,
"Taiwan",9,8,"8 to 9",886,2,0,
"Burkina Faso",8,8,8,226,0,,
